time_step,actual_label,prediction_probability,decision
1,0,0.5922726392745972,anomaly
2,0,0.5505067110061646,anomaly
3,0,0.5343868136405945,anomaly
4,0,0.5311174392700195,anomaly
5,0,0.553896427154541,anomaly
6,0,0.5076457262039185,anomaly
7,0,0.5059293508529663,anomaly
8,0,0.5496665835380554,anomaly
9,0,0.526167094707489,anomaly
10,0,0.4201500117778778,normal
11,0,0.36446091532707214,normal
12,0,0.35035279393196106,normal
13,0,0.34907782077789307,normal
14,0,0.47599297761917114,normal
15,0,0.5545549988746643,anomaly
16,0,0.5442692041397095,anomaly
17,0,0.5131670236587524,anomaly
18,0,0.512855052947998,anomaly
19,0,0.5107027292251587,anomaly
20,0,0.47993630170822144,normal
21,0,0.45937320590019226,normal
22,0,0.4494880437850952,normal
23,0,0.45778927206993103,normal
24,0,0.5961431860923767,anomaly
25,0,0.5652738809585571,anomaly
26,0,0.5132673382759094,anomaly
27,0,0.46463507413864136,normal
28,0,0.4903755486011505,normal
29,0,0.5002619028091431,anomaly
30,0,0.4923568665981293,normal
31,0,0.5551083087921143,anomaly
32,0,0.48103758692741394,normal
33,0,0.39620134234428406,normal
34,0,0.36121416091918945,normal
35,0,0.42964696884155273,normal
36,0,0.4699305593967438,normal
37,0,0.5353212356567383,anomaly
38,0,0.5257691144943237,anomaly
39,0,0.5182932615280151,anomaly
40,0,0.5136955976486206,anomaly
41,0,0.5048149228096008,anomaly
42,0,0.536236047744751,anomaly
43,0,0.5519586205482483,anomaly
44,0,0.6094694137573242,anomaly
45,0,0.5739121437072754,anomaly
46,0,0.5399410724639893,anomaly
47,0,0.5186059474945068,anomaly
48,0,0.5073813199996948,anomaly
49,0,0.550582766532898,anomaly
50,0,0.4936942458152771,normal
51,0,0.46315109729766846,normal
52,0,0.47151026129722595,normal
53,0,0.5251375436782837,anomaly
54,0,0.5280317664146423,anomaly
55,0,0.553440511226654,anomaly
56,0,0.5754450559616089,anomaly
57,0,0.472298800945282,normal
58,0,0.40006375312805176,normal
59,0,0.3274358808994293,normal
60,0,0.3245480954647064,normal
61,0,0.3223001956939697,normal
62,0,0.47207069396972656,normal
63,0,0.49329671263694763,normal
64,0,0.5051149129867554,anomaly
65,0,0.49150604009628296,normal
66,0,0.47314339876174927,normal
67,0,0.4301000237464905,normal
68,0,0.37994134426116943,normal
69,0,0.3852956295013428,normal
70,0,0.3932753801345825,normal
71,0,0.40941280126571655,normal
72,0,0.5493485927581787,anomaly
73,0,0.5661391615867615,anomaly
74,0,0.5286732912063599,anomaly
75,0,0.4668174088001251,normal
76,0,0.4816702902317047,normal
77,0,0.4738216698169708,normal
78,0,0.4563855230808258,normal
79,0,0.48936712741851807,normal
80,0,0.5114030838012695,anomaly
81,0,0.518103837966919,anomaly
82,0,0.5008319616317749,anomaly
83,0,0.4912582337856293,normal
84,0,0.48072952032089233,normal
85,0,0.606667160987854,anomaly
86,0,0.5509610176086426,anomaly
87,0,0.51877760887146,anomaly
88,0,0.47808051109313965,normal
89,0,0.5293136835098267,anomaly
90,0,0.5347787737846375,anomaly
91,0,0.47166627645492554,normal
92,0,0.3812440037727356,normal
93,0,0.33794263005256653,normal
94,0,0.3514123260974884,normal
95,0,0.44118842482566833,normal
96,0,0.5294041633605957,anomaly
97,0,0.5677949786186218,anomaly
98,0,0.5050503611564636,anomaly
99,0,0.4634738266468048,normal
100,0,0.4770222306251526,normal
101,0,0.5013741254806519,anomaly
102,0,0.5060817003250122,anomaly
103,0,0.5112934112548828,anomaly
104,0,0.5103822350502014,anomaly
105,0,0.519073486328125,anomaly
106,0,0.5450979471206665,anomaly
107,0,0.5319448709487915,anomaly
108,0,0.5384840965270996,anomaly
109,0,0.5303820371627808,anomaly
110,0,0.4972131550312042,normal
111,0,0.4928961992263794,normal
112,0,0.61475670337677,anomaly
113,0,0.5670326948165894,anomaly
114,0,0.4898882210254669,normal
