seed,time_step,actual_label,prediction_probability,decision
42,1,0,0.5486325025558472,anomaly
42,2,0,0.5163344144821167,anomaly
42,5,0,0.5303018093109131,anomaly
42,6,0,0.5425193309783936,anomaly
42,7,0,0.5090699791908264,anomaly
42,15,0,0.5205829739570618,anomaly
42,16,0,0.5233571529388428,anomaly
42,17,0,0.5088385939598083,anomaly
42,18,0,0.5054603815078735,anomaly
42,24,0,0.5387235283851624,anomaly
42,25,0,0.5337553024291992,anomaly
42,26,0,0.5102492570877075,anomaly
42,29,0,0.5170948505401611,anomaly
42,30,0,0.5196192264556885,anomaly
42,37,0,0.5165234804153442,anomaly
42,38,0,0.5025680065155029,anomaly
42,40,0,0.5029727220535278,anomaly
42,41,0,0.5010629892349243,anomaly
42,42,0,0.5277884602546692,anomaly
42,44,0,0.5292642116546631,anomaly
42,45,0,0.5106919407844543,anomaly
42,46,0,0.5096067786216736,anomaly
42,47,0,0.5161768198013306,anomaly
42,48,0,0.5174955129623413,anomaly
42,49,0,0.5498447418212891,anomaly
42,50,0,0.5308060050010681,anomaly
42,51,0,0.522838830947876,anomaly
42,52,0,0.5103548765182495,anomaly
42,55,0,0.517400324344635,anomaly
42,72,0,0.5139147043228149,anomaly
42,73,0,0.5359039306640625,anomaly
42,74,0,0.5347449779510498,anomaly
42,75,0,0.5197585821151733,anomaly
42,76,0,0.5323957204818726,anomaly
42,77,0,0.5318248271942139,anomaly
42,78,0,0.5251593589782715,anomaly
42,79,0,0.508037805557251,anomaly
42,80,0,0.5071777105331421,anomaly
42,85,0,0.5463646650314331,anomaly
42,86,0,0.522283136844635,anomaly
42,87,0,0.5286663770675659,anomaly
42,88,0,0.5127012729644775,anomaly
42,96,0,0.5125985145568848,anomaly
42,97,0,0.5463036298751831,anomaly
42,98,0,0.5226238965988159,anomaly
42,99,0,0.5035019516944885,anomaly
42,100,0,0.5096738934516907,anomaly
42,101,0,0.505375325679779,anomaly
42,102,0,0.5139236450195312,anomaly
42,103,0,0.5141943693161011,anomaly
42,104,0,0.5222470164299011,anomaly
42,106,0,0.5179558992385864,anomaly
42,107,0,0.5032835602760315,anomaly
42,108,0,0.5195112824440002,anomaly
42,109,0,0.5382461547851562,anomaly
42,110,0,0.5240105390548706,anomaly
42,111,0,0.5405457615852356,anomaly
42,122,0,0.5420322418212891,anomaly
42,123,0,0.5260664224624634,anomaly
42,124,0,0.5026357173919678,anomaly
42,130,0,0.5009563565254211,anomaly
42,131,0,0.5043044686317444,anomaly
42,132,0,0.508552074432373,anomaly
42,133,0,0.5060582160949707,anomaly
42,134,0,0.5064952373504639,anomaly
42,135,0,0.5088815689086914,anomaly
42,136,0,0.5092706680297852,anomaly
42,137,0,0.5304655432701111,anomaly
42,138,0,0.5107084512710571,anomaly
42,140,0,0.5068594813346863,anomaly
42,141,0,0.5098037123680115,anomaly
42,142,0,0.5102124810218811,anomaly
42,143,0,0.5182681083679199,anomaly
42,144,0,0.5374763011932373,anomaly
42,145,0,0.5137859582901001,anomaly
42,146,0,0.5328142046928406,anomaly
42,147,0,0.5442244410514832,anomaly
42,148,0,0.5133622884750366,anomaly
42,149,0,0.5119104385375977,anomaly
42,150,0,0.5122773051261902,anomaly
42,156,0,0.5197397470474243,anomaly
42,157,0,0.533624529838562,anomaly
42,158,0,0.5170028805732727,anomaly
42,159,0,0.5245816707611084,anomaly
42,160,0,0.5281713008880615,anomaly
42,161,0,0.5120524168014526,anomaly
42,162,0,0.5120456218719482,anomaly
42,167,0,0.5024796724319458,anomaly
42,168,1,0.5392013788223267,anomaly
42,169,1,0.5218663811683655,anomaly
42,170,1,0.5211778283119202,anomaly
42,171,1,0.5146101713180542,anomaly
42,172,1,0.5192789435386658,anomaly
42,173,1,0.5102270841598511,anomaly
42,192,0,0.5362308025360107,anomaly
42,193,0,0.5348477959632874,anomaly
42,194,0,0.5230129957199097,anomaly
42,195,0,0.5259414315223694,anomaly
42,196,0,0.5141798257827759,anomaly
42,197,0,0.5352551937103271,anomaly
42,198,0,0.5196266174316406,anomaly
42,199,0,0.5147313475608826,anomaly
42,202,0,0.5140584707260132,anomaly
42,203,0,0.5186777114868164,anomaly
42,204,0,0.5205262899398804,anomaly
42,205,0,0.547652542591095,anomaly
42,206,0,0.5172296762466431,anomaly
42,207,0,0.5024548768997192,anomaly
42,216,0,0.5004947185516357,anomaly
42,217,0,0.5274055004119873,anomaly
42,218,0,0.5450159907341003,anomaly
42,219,0,0.528211236000061,anomaly
42,220,0,0.521500825881958,anomaly
42,221,0,0.5244704484939575,anomaly
42,222,0,0.540729284286499,anomaly
42,223,0,0.529019296169281,anomaly
42,225,0,0.5179616212844849,anomaly
42,226,0,0.5209230184555054,anomaly
42,230,0,0.5042611360549927,anomaly
42,241,0,0.5351551175117493,anomaly
42,242,0,0.5313650965690613,anomaly
42,243,0,0.5007091760635376,anomaly
42,245,0,0.5000693798065186,anomaly
42,248,0,0.5005098581314087,anomaly
42,250,0,0.5013994574546814,anomaly
42,251,0,0.528485119342804,anomaly
42,252,0,0.5310786366462708,anomaly
42,253,0,0.531898558139801,anomaly
42,254,0,0.5351525545120239,anomaly
42,255,0,0.5102112889289856,anomaly
42,256,0,0.5079763531684875,anomaly
42,257,0,0.5103044509887695,anomaly
42,258,0,0.5089077949523926,anomaly
42,259,0,0.5073146820068359,anomaly
42,260,0,0.5098457336425781,anomaly
42,261,0,0.5143411159515381,anomaly
42,262,0,0.5148739814758301,anomaly
42,264,0,0.5471326112747192,anomaly
42,265,0,0.5255019664764404,anomaly
42,266,0,0.5222731232643127,anomaly
42,267,0,0.5340535044670105,anomaly
42,268,0,0.5312056541442871,anomaly
42,269,0,0.5126636028289795,anomaly
42,270,0,0.5278801918029785,anomaly
42,278,0,0.5194422006607056,anomaly
42,289,0,0.5436164140701294,anomaly
42,290,0,0.5302566289901733,anomaly
42,291,0,0.5164410471916199,anomaly
42,292,0,0.5122938752174377,anomaly
42,293,0,0.5034033060073853,anomaly
42,294,0,0.5123916864395142,anomaly
42,295,0,0.5150277018547058,anomaly
42,297,0,0.516654372215271,anomaly
42,300,0,0.510878324508667,anomaly
42,301,0,0.5329591035842896,anomaly
42,302,0,0.5335396528244019,anomaly
42,303,0,0.5168894529342651,anomaly
42,304,0,0.5246785879135132,anomaly
42,305,0,0.5291963219642639,anomaly
42,312,0,0.5093976259231567,anomaly
42,313,0,0.5435279011726379,anomaly
42,314,0,0.5169354677200317,anomaly
42,319,0,0.522748589515686,anomaly
42,322,0,0.5041993856430054,anomaly
42,326,0,0.523913562297821,anomaly
42,327,0,0.5259846448898315,anomaly
42,328,0,0.5064480304718018,anomaly
42,329,0,0.5284189581871033,anomaly
42,330,0,0.5302976369857788,anomaly
42,331,0,0.5311206579208374,anomaly
42,336,0,0.5029427409172058,anomaly
42,337,0,0.5502976179122925,anomaly
42,338,0,0.5177213549613953,anomaly
42,340,0,0.5016783475875854,anomaly
42,341,0,0.5301995277404785,anomaly
42,342,0,0.5328145027160645,anomaly
42,360,0,0.5106990337371826,anomaly
42,361,0,0.5439120531082153,anomaly
42,362,0,0.5189465284347534,anomaly
42,363,0,0.5049518346786499,anomaly
42,364,0,0.5102033615112305,anomaly
42,365,0,0.5047303438186646,anomaly
42,366,0,0.5135151147842407,anomaly
42,367,0,0.5143651366233826,anomaly
42,368,0,0.516356348991394,anomaly
42,369,0,0.5391926765441895,anomaly
42,370,0,0.5220382213592529,anomaly
42,371,0,0.5125336647033691,anomaly
42,372,0,0.516734778881073,anomaly
42,373,0,0.5346831679344177,anomaly
42,374,0,0.5437334775924683,anomaly
42,375,0,0.5126842260360718,anomaly
42,384,0,0.5351436138153076,anomaly
42,385,0,0.5355587005615234,anomaly
42,386,0,0.523043155670166,anomaly
42,387,0,0.5034924745559692,anomaly
42,388,0,0.5071810483932495,anomaly
42,389,0,0.5437332391738892,anomaly
42,390,0,0.5383908748626709,anomaly
42,391,0,0.5131477117538452,anomaly
42,392,0,0.515453040599823,anomaly
42,395,0,0.5165592432022095,anomaly
42,396,0,0.5003100633621216,anomaly
42,397,0,0.5339901447296143,anomaly
42,398,0,0.5386435985565186,anomaly
