time_step,state,pattern,status,mapped_to,probability,path_probability,decision,confidence,distance
1,dacdda,acddac,known,acddac,0.0,0.0001,anomaly,0.0,0
2,acddac,cddacd,known,cddacd,1.0,0.0001,normal,1.0,0
3,cddacd,ddacdd,known,ddacdd,1.0,0.0001,normal,1.0,0
4,ddacdd,dacdda,known,dacdda,0.6666666666666666,6.666666666666667e-05,normal,0.6666666666666666,0
5,dacdda,acddaa,known,acddaa,0.8,5.333333333333334e-05,normal,0.8,0
6,acddaa,cddaaa,known,cddaaa,0.25,1.3333333333333335e-05,normal,0.25,0
7,cddaaa,ddaaad,known,ddaaad,1.0,1.3333333333333335e-05,normal,1.0,0
8,ddaaad,daaadc,unseen,daaddc,0.0,1.3333333333333335e-09,anomaly,0.0,1
9,daaddc,aaadcc,unseen,aaddcc,1.0,1.3333333333333335e-09,normal,1.0,1
10,aaddcc,aadccb,unseen,acdccb,0.0,1.3333333333333336e-13,anomaly,0.0,1
11,acdccb,adccbd,unseen,cdccbd,1.0,1.3333333333333336e-13,normal,1.0,1
12,cdccbd,dccbdd,known,dccbdd,1.0,1.3333333333333336e-13,normal,1.0,0
13,dccbdd,ccbdda,known,ccbdda,1.0,1.3333333333333336e-13,normal,1.0,0
14,ccbdda,cbddaa,unseen,cbddda,0.0,1.3333333333333336e-17,anomaly,0.0,1
15,cbddda,bddaab,known,bddaab,0.0,1.3333333333333336e-21,anomaly,0.0,0
16,bddaab,ddaabb,known,ddaabb,1.0,1.3333333333333336e-21,normal,1.0,0
17,ddaabb,daabbc,unseen,daabdc,0.0,1.3333333333333337e-25,anomaly,0.0,1
18,daabdc,aabbcd,unseen,babbcd,0.0,1.3333333333333338e-29,anomaly,0.0,1
19,babbcd,abbcdd,unseen,abbddd,0.0,1.3333333333333339e-33,anomaly,0.0,1
20,abbddd,bbcdda,unseen,bbddda,1.0,1.3333333333333339e-33,normal,1.0,1
21,bbddda,bcddad,unseen,acddab,0.0,1.3333333333333338e-37,anomaly,0.0,2
22,acddab,cddadc,unseen,cddaac,0.0,1.3333333333333339e-41,anomaly,0.0,1
23,cddaac,ddadcd,unseen,ddaddd,0.0,1.333333333333334e-45,anomaly,0.0,1
24,ddaddd,dadcda,unseen,aadcda,0.0,1.333333333333334e-49,anomaly,0.0,1
25,aadcda,adcdaa,unseen,adddaa,0.0,1.3333333333333341e-53,anomaly,0.0,1
26,adddaa,dcdaac,unseen,dcaaac,0.0,1.333333333333334e-57,anomaly,0.0,1
27,dcaaac,cdaacd,unseen,cdcacd,0.0,1.3333333333333342e-61,anomaly,0.0,1
28,cdcacd,daacdd,unseen,ddacdd,0.0,1.3333333333333343e-65,anomaly,0.0,1
29,ddacdd,aacdda,known,aacdda,0.0,1.3333333333333344e-69,anomaly,0.0,0
30,aacdda,acddaa,known,acddaa,0.0,1.3333333333333344e-73,anomaly,0.0,0
31,acddaa,cddaad,known,cddaad,0.5,6.666666666666672e-74,normal,0.5,0
32,cddaad,ddaadb,known,ddaadb,0.0,6.666666666666673e-78,anomaly,0.0,0
33,ddaadb,daadba,known,daadba,1.0,6.666666666666673e-78,normal,1.0,0
34,daadba,aadbaa,known,aadbaa,1.0,6.666666666666673e-78,normal,1.0,0
35,aadbaa,adbaac,unseen,cdbaac,0.0,6.666666666666673e-82,anomaly,0.0,1
36,cdbaac,dbaacd,known,dbaacd,1.0,6.666666666666673e-82,normal,1.0,0
37,dbaacd,baacdd,known,baacdd,1.0,6.666666666666673e-82,normal,1.0,0
38,baacdd,aacddd,known,aacddd,0.0,6.666666666666674e-86,anomaly,0.0,0
39,aacddd,acdddd,unseen,acbddd,0.0,6.666666666666674e-90,anomaly,0.0,1
40,acbddd,cdddda,unseen,cbddda,1.0,6.666666666666674e-90,normal,1.0,1
41,cbddda,ddddab,unseen,adddab,0.0,6.666666666666674e-94,anomaly,0.0,1
42,adddab,dddaba,unseen,bddaba,0.0,6.666666666666675e-98,anomaly,0.0,1
43,bddaba,ddabad,known,ddabad,1.0,6.666666666666675e-98,normal,1.0,0
44,ddabad,dabadc,unseen,dabadd,1.0,6.666666666666675e-98,normal,1.0,1
45,dabadd,abadcc,unseen,abaddc,0.0,6.666666666666675e-102,anomaly,0.0,1
46,abaddc,badcca,unseen,baddca,1.0,6.666666666666675e-102,normal,1.0,1
47,baddca,adccac,unseen,adcdac,0.0,6.666666666666675e-106,anomaly,0.0,1
48,adcdac,dccaca,unseen,dccaba,0.0,6.666666666666676e-110,anomaly,0.0,1
49,dccaba,ccacad,unseen,ccabad,1.0,6.666666666666676e-110,normal,1.0,1
50,ccabad,cacadc,unseen,cdcaac,0.0,6.666666666666677e-114,anomaly,0.0,2
51,cdcaac,acadcd,unseen,acacdc,0.0,6.666666666666677e-118,anomaly,0.0,2
52,acacdc,cadcda,unseen,caacda,0.0,6.666666666666678e-122,anomaly,0.0,1
53,caacda,adcdaa,unseen,adddaa,0.0,6.666666666666678e-126,anomaly,0.0,1
54,adddaa,dcdaab,unseen,acdaab,0.0,6.666666666666679e-130,anomaly,0.0,1
55,acdaab,cdaabd,unseen,ddaabd,0.0,6.666666666666679e-134,anomaly,0.0,1
56,ddaabd,daabdd,unseen,ddabdd,0.0,6.66666666666668e-138,anomaly,0.0,1
57,ddabdd,aabddb,unseen,aabddd,0.0,6.66666666666668e-142,anomaly,0.0,1
58,aabddd,abddbb,unseen,abddaa,0.0,6.666666666666681e-146,anomaly,0.0,2
59,abddaa,bddbbd,unseen,bcdbbd,0.0,6.666666666666681e-150,anomaly,0.0,1
60,bcdbbd,ddbbdd,unseen,ddabdd,0.0,6.666666666666681e-154,anomaly,0.0,1
61,ddabdd,dbbdda,known,dbbdda,0.0,6.666666666666681e-158,anomaly,0.0,0
62,dbbdda,bbddaa,known,bbddaa,1.0,6.666666666666681e-158,normal,1.0,0
63,bbddaa,bddaab,known,bddaab,0.3333333333333333,2.222222222222227e-158,normal,0.3333333333333333,0
64,bddaab,ddaaba,unseen,ddaaca,0.0,2.222222222222227e-162,anomaly,0.0,1
65,ddaaca,daabab,unseen,ddabdb,0.0,2.222222222222227e-166,anomaly,0.0,2
66,ddabdb,aababc,unseen,caaacc,0.0,2.222222222222227e-170,anomaly,0.0,3
67,caaacc,ababcd,unseen,abacdc,0.0,2.2222222222222275e-174,anomaly,0.0,2
68,abacdc,babcda,unseen,aabcda,0.0,2.2222222222222277e-178,anomaly,0.0,1
69,aabcda,abcdaa,unseen,abddaa,0.0,2.222222222222228e-182,anomaly,0.0,1
70,abddaa,bcdaab,unseen,bddaab,0.0,2.222222222222228e-186,anomaly,0.0,1
71,bddaab,cdaabd,unseen,ddaabd,0.0,2.2222222222222278e-190,anomaly,0.0,1
72,ddaabd,daabda,unseen,daabdc,1.0,2.2222222222222278e-190,normal,1.0,1
73,daabdc,aabdaa,unseen,aaddaa,0.0,2.222222222222228e-194,anomaly,0.0,1
74,aaddaa,abdaab,unseen,acdaab,0.0,2.222222222222228e-198,anomaly,0.0,1
75,acdaab,bdaabd,unseen,ddaabd,0.0,2.222222222222228e-202,anomaly,0.0,1
76,ddaabd,daabda,unseen,daabdc,1.0,2.222222222222228e-202,normal,1.0,1
77,daabdc,aabdaa,unseen,aaddaa,0.0,2.2222222222222283e-206,anomaly,0.0,1
78,aaddaa,abdaab,unseen,acdaab,0.0,2.2222222222222284e-210,anomaly,0.0,1
79,acdaab,bdaabd,unseen,ddaabd,0.0,2.2222222222222285e-214,anomaly,0.0,1
80,ddaabd,daabda,unseen,daabdc,1.0,2.2222222222222285e-214,normal,1.0,1
81,daabdc,aabdaa,unseen,aaddaa,0.0,2.2222222222222286e-218,anomaly,0.0,1
82,aaddaa,abdaac,unseen,addaac,0.5,1.1111111111111143e-218,normal,0.5,1
83,addaac,bdaacd,unseen,bdaaad,0.0,1.1111111111111144e-222,anomaly,0.0,1
84,bdaaad,daacda,unseen,aaacda,0.0,1.1111111111111144e-226,anomaly,0.0,1
85,aaacda,aacdaa,unseen,aacdac,1.0,1.1111111111111144e-226,normal,1.0,1
86,aacdac,acdaaa,known,acdaaa,0.0,1.1111111111111144e-230,anomaly,0.0,0
87,acdaaa,cdaaad,known,cdaaad,0.5,5.555555555555572e-231,normal,0.5,0
88,cdaaad,daaadc,unseen,daaddc,0.0,5.555555555555572e-235,anomaly,0.0,1
89,daaddc,aaadcd,unseen,aabdcd,0.0,5.555555555555573e-239,anomaly,0.0,1
90,aabdcd,aadcda,known,aadcda,0.0,5.555555555555574e-243,anomaly,0.0,0
91,aadcda,adcdad,known,adcdad,0.5,2.777777777777787e-243,normal,0.5,0
92,adcdad,dcdada,unseen,dcdadd,1.0,2.777777777777787e-243,normal,1.0,1
93,dcdadd,cdadaa,unseen,cdddaa,0.0,2.7777777777777868e-247,anomaly,0.0,1
94,cdddaa,dadaaa,unseen,daddaa,0.0,2.777777777777787e-251,anomaly,0.0,1
95,daddaa,adaaad,unseen,addaad,1.0,2.777777777777787e-251,normal,1.0,1
96,addaad,daaadc,unseen,daaddc,0.0,2.7777777777777873e-255,anomaly,0.0,1
97,daaddc,aaadcd,unseen,aabdcd,0.0,2.7777777777777877e-259,anomaly,0.0,1
98,aabdcd,aadcdd,unseen,aadcda,0.0,2.777777777777788e-263,anomaly,0.0,1
99,aadcda,adcddd,unseen,aacddd,0.0,2.777777777777788e-267,anomaly,0.0,1
100,aacddd,dcddda,unseen,acddda,1.0,2.777777777777788e-267,normal,1.0,1
101,acddda,cdddaa,known,cdddaa,0.5,1.388888888888894e-267,normal,0.5,0
102,cdddaa,dddaab,unseen,bddaab,0.0,1.388888888888894e-271,anomaly,0.0,1
103,bddaab,ddaabd,known,ddaabd,0.0,1.388888888888894e-275,anomaly,0.0,0
104,ddaabd,daabdc,known,daabdc,1.0,1.388888888888894e-275,normal,1.0,0
105,daabdc,aabdcc,unseen,aabdcd,1.0,1.388888888888894e-275,normal,1.0,1
106,aabdcd,abdccb,unseen,abdcdb,1.0,1.388888888888894e-275,normal,1.0,1
107,abdcdb,bdccbd,unseen,bdcabd,0.0,1.388888888888894e-279,anomaly,0.0,1
108,bdcabd,dccbda,unseen,dccbdd,0.0,1.3888888888888942e-283,anomaly,0.0,1
109,dccbdd,ccbdaa,unseen,ccbdda,1.0,1.3888888888888942e-283,normal,1.0,1
110,ccbdda,cbdaad,unseen,cddaad,0.0,1.3888888888888943e-287,anomaly,0.0,1
111,cddaad,bdaadd,unseen,bddadd,0.0,1.3888888888888943e-291,anomaly,0.0,1
112,bddadd,daadda,known,daadda,0.0,1.3888888888888943e-295,anomaly,0.0,0
113,daadda,aaddac,known,aaddac,0.0,1.3888888888888943e-299,anomaly,0.0,0
114,aaddac,addacc,unseen,addccc,0.0,1.3888888888888944e-303,anomaly,0.0,1
115,addccc,ddaccd,unseen,ddacdd,0.0,1.3888888888888944e-307,anomaly,0.0,1
116,ddacdd,daccda,unseen,dcccda,0.0,1.388888888889e-311,anomaly,0.0,1
117,dcccda,accdaa,unseen,acddaa,0.0,1.38888889e-315,anomaly,0.0,1
118,acddaa,ccdaab,unseen,acdaab,0.0,1.38887e-319,anomaly,0.0,1
119,acdaab,cdaabd,unseen,ddaabd,0.0,1.5e-323,anomaly,0.0,1
120,ddaabd,daabdc,known,daabdc,1.0,1.5e-323,normal,1.0,0
121,daabdc,aabdca,unseen,aabdcd,1.0,1.5e-323,normal,1.0,1
122,aabdcd,abdcad,unseen,abddad,0.0,0.0,anomaly,0.0,1
123,abddad,bdcadd,unseen,bddadd,1.0,0.0,normal,1.0,1
124,bddadd,dcadda,unseen,ccadda,0.0,0.0,anomaly,0.0,1
125,ccadda,caddaa,known,caddaa,1.0,0.0,normal,1.0,0
126,caddaa,addaab,known,addaab,1.0,0.0,normal,1.0,0
127,addaab,ddaabd,known,ddaabd,1.0,0.0,normal,1.0,0
128,ddaabd,daabda,unseen,daabdc,1.0,0.0,normal,1.0,1
129,daabdc,aabdac,unseen,aacdac,0.0,0.0,anomaly,0.0,1
130,aacdac,abdacd,known,abdacd,0.0,0.0,anomaly,0.0,0
131,abdacd,bdacdd,unseen,ddacdd,0.0,0.0,anomaly,0.0,1
132,ddacdd,dacdda,known,dacdda,0.6666666666666666,0.0,normal,0.6666666666666666,0
133,dacdda,acddaa,known,acddaa,0.8,0.0,normal,0.8,0
