time_step,actual_label,prediction_probability,decision
1,0,0.35407230257987976,normal
2,0,0.22382627427577972,normal
3,0,0.20975516736507416,normal
4,0,0.22383232414722443,normal
5,0,0.22629015147686005,normal
6,0,0.213914155960083,normal
7,0,0.2130236029624939,normal
8,0,0.2152256816625595,normal
9,0,0.271893173456192,normal
10,0,0.27253416180610657,normal
11,0,0.2611771523952484,normal
12,0,0.23344601690769196,normal
13,0,0.22443869709968567,normal
14,0,0.24674838781356812,normal
15,0,0.2603476047515869,normal
16,0,0.2614881992340088,normal
17,0,0.25448092818260193,normal
18,0,0.2846447825431824,normal
19,0,0.41908302903175354,normal
20,0,0.3698655962944031,normal
21,0,0.2937208116054535,normal
22,0,0.32392069697380066,normal
23,0,0.4033103585243225,normal
24,0,0.55931556224823,anomaly
25,0,0.5007059574127197,anomaly
26,0,0.3526865839958191,normal
27,0,0.2803744673728943,normal
28,0,0.3639865815639496,normal
29,0,0.35054129362106323,normal
30,0,0.3740032911300659,normal
31,0,0.3054940700531006,normal
32,0,0.3655565083026886,normal
33,0,0.5307557582855225,anomaly
34,0,0.4913516342639923,normal
35,0,0.553642213344574,anomaly
36,0,0.4014413356781006,normal
37,0,0.34117579460144043,normal
38,0,0.33737465739250183,normal
39,0,0.30781492590904236,normal
40,0,0.30118709802627563,normal
41,0,0.35942530632019043,normal
42,0,0.4946525990962982,normal
43,0,0.47759172320365906,normal
44,0,0.3570837080478668,normal
45,0,0.3059301972389221,normal
46,0,0.3607592284679413,normal
47,0,0.3839755058288574,normal
48,0,0.43552160263061523,normal
49,0,0.29774975776672363,normal
50,0,0.23831436038017273,normal
51,0,0.2603844404220581,normal
52,0,0.25244393944740295,normal
53,0,0.24760350584983826,normal
54,0,0.2072795182466507,normal
55,0,0.2252366691827774,normal
56,0,0.26573723554611206,normal
57,0,0.2378406971693039,normal
58,0,0.29414471983909607,normal
59,0,0.23989824950695038,normal
60,0,0.20994998514652252,normal
61,0,0.20535840094089508,normal
62,0,0.20181535184383392,normal
63,0,0.19657233357429504,normal
64,0,0.206892192363739,normal
65,0,0.23551632463932037,normal
66,0,0.23122042417526245,normal
67,0,0.22400593757629395,normal
68,0,0.2049931287765503,normal
69,0,0.22059960663318634,normal
70,0,0.22865214943885803,normal
71,0,0.26515519618988037,normal
72,0,0.28633224964141846,normal
73,0,0.2328324168920517,normal
74,0,0.2727985680103302,normal
75,0,0.32395848631858826,normal
76,0,0.3268434405326843,normal
77,0,0.2779378592967987,normal
78,0,0.26955634355545044,normal
79,0,0.3022935092449188,normal
80,0,0.34943270683288574,normal
81,0,0.38947951793670654,normal
82,0,0.27298039197921753,normal
83,0,0.21469742059707642,normal
84,0,0.22186164557933807,normal
85,0,0.2212591916322708,normal
86,0,0.2394346445798874,normal
87,0,0.2066384106874466,normal
88,0,0.2219216227531433,normal
